victims,state,verb,report_date,year
4,JK,killed,3/7/2000,2000
7,JK,killed,3/7/2000,2000
1,NA,arrested,3/7/2000,2000
7,AS,surrendered,3/7/2000,2000
2,NA,killed,3/8/2000,2000
1,AS,killed,3/8/2000,2000
1,MN,injured,3/9/2000,2000
1,NA,arrested,3/9/2000,2000
3,NA,arrested,3/12/2000,2000
3,NA,arrested,3/12/2000,2000
9,BR|JH,killing,3/13/2000,2000
1,MH,killed,3/14/2000,2000
3,JK,killed,3/15/2000,2000
2,JK,killed,3/15/2000,2000
2,JK,killed,3/15/2000,2000
4,TR,killed,3/15/2000,2000
4,TR,injured,3/15/2000,2000
2,NA,arrested,3/16/2000,2000
8,JK,killed,3/17/2000,2000
1,NA,killed,3/17/2000,2000
2,NA,injured,3/17/2000,2000
1,NA,wounded,3/18/2000,2000
1,NA,arrested,3/18/2000,2000
4,NA,killed,3/18/2000,2000
1,NA,injured,3/18/2000,2000
1,NA,killed,3/18/2000,2000
3,NA,killed,3/18/2000,2000
3,NA,killed,3/21/2000,2000
1,NA,arrested,3/21/2000,2000
1,JK,injured,3/22/2000,2000
10,NA,killed,3/23/2000,2000
1,NA,killed,3/23/2000,2000
2,NA,killed,3/23/2000,2000
1,NA,killed,3/23/2000,2000
2,AP,killed,3/23/2000,2000
0,NA,killed,3/24/2000,2000
8,JK,killed,3/24/2000,2000
1,AS,arrested,3/25/2000,2000
1,JK,arrested,3/25/2000,2000
3,JK,killed,3/26/2000,2000
5,JK,killed,3/26/2000,2000
1,AS,killed,3/26/2000,2000
5,MN,killed,3/26/2000,2000
12,NA,killed,3/28/2000,2000
5,NA,injured,3/28/2000,2000
2,NA,killed,3/28/2000,2000
2,JK,killed,3/29/2000,2000
2,JK,injured,3/29/2000,2000
2,JK,killed,3/29/2000,2000
4,JK,killed,3/29/2000,2000
1,JK,killed,3/29/2000,2000
10,CT|MP,arrested,3/29/2000,2000
1,PB,arrested,3/29/2000,2000
0,JK,killed,3/31/2000,2000
1,JK,injured,3/31/2000,2000
2,JK,killed,3/31/2000,2000
2,JK,injured,3/31/2000,2000
4,BR|JH,killed,3/31/2000,2000
5,BR|JH,arrested,3/31/2000,2000
1,NA,killed,3/31/2000,2000
1,TR,killed,3/31/2000,2000
5,JK,killed,4/1/2000,2000
5,JK,killed,4/1/2000,2000
2,AP,killed,4/1/2000,2000
1,AP,killed,4/1/2000,2000
3,NA,arrested,4/1/2000,2000
0,JK,killed,4/3/2000,2000
43,AS,surrendered,4/3/2000,2000
1,NA,killed,4/3/2000,2000
1,NA,killed,4/3/2000,2000
1,NA,killed,4/3/2000,2000
1,NA,arrested,4/3/2000,2000
3,NA,arrested,4/3/2000,2000
7,JK,killed,4/4/2000,2000
11,JK,injured,4/4/2000,2000
2,JK,killed,4/4/2000,2000
1,JK,killed,4/4/2000,2000
1,JK,injured,4/4/2000,2000
4,AS,arrested,4/4/2000,2000
5,TR,arrested,4/4/2000,2000
5,TR,arrested,4/4/2000,2000
3,TR,arrested,4/4/2000,2000
4,JK,killed,4/5/2000,2000
3,JK,injured,4/5/2000,2000
1,NA,killed,4/6/2000,2000
1,NA,killed,4/6/2000,2000
3,NA,killed,4/6/2000,2000
1,NA,killed,4/6/2000,2000
5,MN,killed,4/7/2000,2000
3,JK,arrested,4/7/2000,2000
2,JK,killed,4/7/2000,2000
2,JK,killed,4/8/2000,2000
2,JK,killed,4/8/2000,2000
1,JK,killed,4/8/2000,2000
0,AS,arrested,4/8/2000,2000
5,JK,killed,4/10/2000,2000
6,JK,killed,4/10/2000,2000
3,JK,arrested,4/10/2000,2000
3,JK,killed,4/10/2000,2000
11000,JK,killed,4/10/2000,2000
3,MN,killed,4/10/2000,2000
11,AS,killed,4/11/2000,2000
1,AS,killed,4/11/2000,2000
25,JK,killed,4/11/2000,2000
11,JK,killed,4/11/2000,2000
5,NA,killed,4/11/2000,2000
2,TR,killed,4/12/2000,2000
2,AP,killed,4/12/2000,2000
3,NA,killed,4/12/2000,2000
1,NA,killed,4/12/2000,2000
1,JK,killed,4/13/2000,2000
12,JK,injured,4/13/2000,2000
1,JK,killed,4/13/2000,2000
1,JK,arrested,4/13/2000,2000
3,JK,killed,4/13/2000,2000
4,JK,killed,4/13/2000,2000
9,JK,killed,4/14/2000,2000
1,JK,killed,4/14/2000,2000
1,JK,arrested,4/14/2000,2000
7,JK,killed,4/16/2000,2000
3,JK,killed,4/16/2000,2000
2,JK,killed,4/16/2000,2000
1,JK,killed,4/16/2000,2000
1,JK,killed,4/16/2000,2000
1,JK,arrested,4/16/2000,2000
4,NA,killed,4/16/2000,2000
7,NA,surrendered,4/16/2000,2000
2,WB,injured,4/16/2000,2000
1,JK,killed,4/17/2000,2000
2,JK,killed,4/17/2000,2000
5,JK,killed,4/17/2000,2000
2,JK,injured,4/17/2000,2000
2,JK,killed,4/17/2000,2000
1,JK,arrested,4/17/2000,2000
2,JK,killed,4/17/2000,2000
4,JK,killed,4/18/2000,2000
11,JK,injured,4/18/2000,2000
2,AP,killed,4/18/2000,2000
2,TR,killed,4/18/2000,2000
17,TR,injured,4/18/2000,2000
4,AP,arrested,4/18/2000,2000
4,JK,killed,4/19/2000,2000
7,JK,injured,4/19/2000,2000
1,JK,killed,4/19/2000,2000
2,JK,injured,4/19/2000,2000
1,NA,killed,4/19/2000,2000
8,JK,injuring,4/20/2000,2000
4,JK,killed,4/20/2000,2000
2,JK,killed,4/20/2000,2000
11,NA,killing,4/21/2000,2000
10,JK,killed,4/21/2000,2000
1,JK,injured,4/21/2000,2000
2,JK,killed,4/21/2000,2000
1,JK,killed,4/21/2000,2000
2,JK,killed,4/21/2000,2000
1,JK,arrested,4/21/2000,2000
13,JK,killed,4/22/2000,2000
4,JK,killed,4/22/2000,2000
3,JK,killed,4/22/2000,2000
1,JK,killed,4/22/2000,2000
2,CT|MP,killing,4/22/2000,2000
1,CT|MP,injuring,4/22/2000,2000
1,JK,killed,4/24/2000,2000
3,JK,injured,4/24/2000,2000
2,JK,arrested,4/24/2000,2000
2,AP,arrested,4/24/2000,2000
6,AS,killing,4/25/2000,2000
1,JK,killed,4/25/2000,2000
4,JK,injured,4/25/2000,2000
1,JK,killed,4/25/2000,2000
1,JK,arrested,4/25/2000,2000
1,NA,arrested,4/25/2000,2000
1,NA,arrested,4/25/2000,2000
5,JK,killed,4/26/2000,2000
6,AP,killed,4/27/2000,2000
5,NA,killed,4/27/2000,2000
5,NA,injured,4/27/2000,2000
12,AP,killed,4/28/2000,2000
6,JK,killed,4/28/2000,2000
4,JK,killed,4/28/2000,2000
2,JK,killed,4/28/2000,2000
2,JK,killed,4/28/2000,2000
3,JK,killed,4/28/2000,2000
4,AS,killed,4/28/2000,2000
